Title,TruncAbstr,AugmTitle,Info
Contamination of hay by autumn crocus (Colchicum autumnale) and equine colic.,"We may also use digital footprint connection information such as your IP address and other 
technical identifiers, to collect usage data, click stream data, and information about the pages …","('Contamination of hay by autumn crocus (Colchicum autumnale) and equine colic.', 'We may also use digital footprint connection information such as your IP address and other \ntechnical identifiers, to collect usage data, click stream data, and information about the pages …')","J Kamphues, H Meyer - Tierärztliche Praxis, 1990 - cabdirect.org"
Factor analysis of the interrelationships between clinical variables in horses with colic,"… The reason for this might be the heterogeneity of the equine colic syndrome. In a veterinary 
teaching book on equine colic, more than 50 specific diagnoses are listed (White, 1990b). …","('Factor analysis of the interrelationships between clinical variables in horses with colic', '… The reason for this might be the heterogeneity of the equine colic syndrome. In a veterinary \nteaching book on equine colic, more than 50 specific diagnoses are listed (White, 1990b). …')","MB Thoefner, AK Ersbøll, AL Jensen… - Preventive Veterinary …, 2001 - Elsevier"
Lidocaine reduces tissue oedema formation in equine gut wall challenged by ischaemia and reperfusion.,"… Abstract : Reduction of small intestinal propulsive motility is still a major problem after 
equine coliccolicSubject Category: Diseases, Disorders, and Symptoms …","('Lidocaine reduces tissue oedema formation in equine gut wall challenged by ischaemia and reperfusion.', '… Abstract : Reduction of small intestinal propulsive motility is still a major problem after \nequine coliccolicSubject Category: Diseases, Disorders, and Symptoms …')","M Guschlbauer, J Slapa, K Huber, K Feige - Pferdeheilkunde, 2010 - cabdirect.org"
Observations on the colic motor complex in a pony with a small intestinal obstruction,"Characteristic motility patterns were seen throughout the gastrointestinal tract in a pony 
prepared chronically with electromechanical recording devices after developing a simple …","('Observations on the colic motor complex in a pony with a small intestinal obstruction', 'Characteristic motility patterns were seen throughout the gastrointestinal tract in a pony \nprepared chronically with electromechanical recording devices after developing a simple …')","JN King, EL Gerring - Equine Veterinary Journal, 1989 - Wiley Online Library"
Spectrophotometric assessment of peritoneal fluid haemoglobin in colic horses: an aid to selecting medical vs. surgical treatment,"… medical treatment is of imperative importance in cases of equine colic. Horses requiring 
surgical treatment may be identified by certain … medical treatment of the acute equine colic case. …","('Spectrophotometric assessment of peritoneal fluid haemoglobin in colic horses: an aid to selecting medical vs. surgical treatment', '… medical treatment is of imperative importance in cases of equine colic. Horses requiring \nsurgical treatment may be identified by certain … medical treatment of the acute equine colic case. …')","CD Weimann, MB Thoefner… - Equine veterinary …, 2002 - Wiley Online Library"
[CITATION][C] CLINICAL STUDIES ON FLUNIXIN MEGLUMINE IN TREATMENT OF EQUINE COLIC,,"('[CITATION][C] CLINICAL STUDIES ON FLUNIXIN MEGLUMINE IN TREATMENT OF EQUINE COLIC', '')","GD Vernimb, PW Hennessey - Journal of …, 1977 - … INC 44 NASSAU STREET PO BOX …"
Tapeworms as a cause of intestinal disease in horses,"… perfoliata and equine colic warrants an intervention study to confirm that control of this 
parasite does result in a reduction in the incidence of colic. A recent epidemiological study in the …","('Tapeworms as a cause of intestinal disease in horses', '… perfoliata and equine colic warrants an intervention study to confirm that control of this \nparasite does result in a reduction in the incidence of colic. A recent epidemiological study in the …')","CJ Proudman, AJ Trees - Parasitology Today, 1999 - Elsevier"
"Efficacy of a non-stroidal anti-inflammatory, ketofen 10%®(ketoprofen) in the treatment of colic in horses","… can be used as supportive therapy in the management of pain associated with equine 
colic. … in equine colic. Ketoprofen belongs to the group of peripheral-acting analgesics, s …","('Efficacy of a non-stroidal anti-inflammatory, ketofen 10%®(ketoprofen) in the treatment of colic in horses', '… can be used as supportive therapy in the management of pain associated with equine \ncolic. … in equine colic. Ketoprofen belongs to the group of peripheral-acting analgesics, s …')","E Longo, A Autefage, R Bayle, M Keister… - Journal of Equine …, 1992 - Elsevier"
[CITATION][C] Equine colic‐the decision for surgery,"… The heart rate and character of the pulse are important criteria in assessing the equine colic 
patient. Pain, and the activity as a consequence of pain, have only a relatively minor effect …","('[CITATION][C] Equine colic‐the decision for surgery', '… The heart rate and character of the pulse are important criteria in assessing the equine colic \npatient. Pain, and the activity as a consequence of pain, have only a relatively minor effect …')","GB Edwards - Equine Veterinary Education, 1991 - Wiley Online Library"
[CITATION][C] Prognostic evaluation of equine colic cases,"Prognostic evaluation of equine colic cases … Prognostic evaluation of equine colic cases [1986] … 
""Prognostic evaluation of equine colic cases""@eng …","('[CITATION][C] Prognostic evaluation of equine colic cases', 'Prognostic evaluation of equine colic cases … Prognostic evaluation of equine colic cases [1986] … \n""Prognostic evaluation of equine colic cases""@eng …')","BW Parry - The Compendium on continuing education for the …, 1986 - agris.fao.org"
Feeding practices associated with colic in horses,"… Association of age, sex and breed factors in acute equine colic: a retrospective study of 
320 cases admitted to a veterinary teaching hospital in the USA. Prev Vet Med 1989;7:149–160. …","('Feeding practices associated with colic in horses', '… Association of age, sex and breed factors in acute equine colic: a retrospective study of \n320 cases admitted to a veterinary teaching hospital in the USA. Prev Vet Med 1989;7:149–160. …')","JM Hudson, ND Cohen, PG Gibbs… - Journal of the …, 2001 - Am Vet Med Assoc"
Factors influencing development and outcome of equine gastrointestinal disease,"… Objective 1: Horses requiring an exploratory laparotomy for treatment of colic may have 
different risk factors for non-survival than a broader equine colic population, including horses …","('Factors influencing development and outcome of equine gastrointestinal disease', '… Objective 1: Horses requiring an exploratory laparotomy for treatment of colic may have \ndifferent risk factors for non-survival than a broader equine colic population, including horses …')",RC Bishop - 2021 - ideals.illinois.edu
[CITATION][C] A retrospective review of 219 cases of equine colic,,"('[CITATION][C] A retrospective review of 219 cases of equine colic', '')","GM Shires, AJ Kaneps, PC Wagner, WB Schmotzer - … of the 2nd Equine colic …, 1986"
"[CITATION][C] XYLAZINE, PENTAZOCINE, MEPERIDINE, AND DIPYRONE FOR RELIEF OF BALLOON INDUCED EQUINE COLIC-DOUBLE-BLIND COMPARATIVE …",,"('[CITATION][C] XYLAZINE, PENTAZOCINE, MEPERIDINE, AND DIPYRONE FOR RELIEF OF BALLOON INDUCED EQUINE COLIC-DOUBLE-BLIND COMPARATIVE\xa0…', '')","JE Lowe - Journal of Equine Medicine and …, 1978 - … INC 44 NASSAU STREET PO BOX …"
Peritoneal d‐Dimer Concentration for Assessing Peritoneal Fibrinolytic Activity in Horses with Colic,"… This study was partially presented at the 9th International Equine Colic Research Symposium 
in Liverpool (UK), June 2008, and at the 3rd Congress of the European College of Equine …","('Peritoneal d‐Dimer Concentration for Assessing Peritoneal Fibrinolytic Activity in Horses with Colic', '… This study was partially presented at the 9th International Equine Colic Research Symposium \nin Liverpool (UK), June 2008, and at the 3rd Congress of the European College of Equine …')","MA Delgado, L Monreal, L Armengou… - Journal of Veterinary …, 2009 - Wiley Online Library"
Equine immunity to parasites,"… perfoliata in the induction of equine colic, however, has been controversial and universally 
accepted data supporting this concept have been absent. Recent efforts to diagnose these …","('Equine immunity to parasites', '… perfoliata in the induction of equine colic, however, has been controversial and universally \naccepted data supporting this concept have been absent. Recent efforts to diagnose these …')","TR Klei - Veterinary Clinics of North America: Equine Practice, 2000 - Elsevier"
"[PDF][PDF] 3.5 Prospective survey of veterinary practitioners' primary assessment of equine colic: Clinical signs, diagnoses, and treatment of 120 cases of large colon …","… Methods Data was collected prospectively from veterinary practitioners on the primary 
presentation of equine colic cases over a 12 month period. An impaction was defined as any case …","(""[PDF][PDF] 3.5 Prospective survey of veterinary practitioners' primary assessment of equine colic: Clinical signs, diagnoses, and treatment of 120 cases of large colon\xa0…"", '… Methods Data was collected prospectively from veterinary practitioners on the primary \npresentation of equine colic cases over a 12 month period. An impaction was defined as any case …')","L Curtis, KM Jennings, JH Burford, SL Freeman - Abstract Programme - docspike.com"
Frequency of Colic Episodes in the Horses in Albania.,"… In the United States the annual incidence of equine colic has been reported to be anywhere 
between 3.5% and 26%. A study performed by the national Animal Health Monitoring …","('Frequency of Colic Episodes in the Horses in Albania.', '… In the United States the annual incidence of equine colic has been reported to be anywhere \nbetween 3.5% and 26%. A study performed by the national Animal Health Monitoring …')","S Bizhga, I Dova, R Postoli… - Albanian Journal of …, 2017 - search.ebscohost.com"
Application of an equine composite pain scale and its association with plasma adrenocorticotropic hormone concentrations and serum cortisol concentrations in …,"This study assessed the application of a modified equine composite pain scale (CPS) and 
identified the inter‐observer reliability. Associations between CPS scores and the measured …","('Application of an equine composite pain scale and its association with plasma adrenocorticotropic hormone concentrations and serum cortisol concentrations in\xa0…', 'This study assessed the application of a modified equine composite pain scale (CPS) and \nidentified the inter‐observer reliability. Associations between CPS scores and the measured …')","AL Lawson, RR Opie, KB Stevens… - Equine Veterinary …, 2020 - Wiley Online Library"
Factors influencing foaling rate following colic surgery in pregnant T horoughbred mares in C entral K entucky,"… has been associated with higher patient survival in equine colic 14, 16, 17. The same … 
This finding emphasises the importance of early referral of equine colic cases as this not …","('Factors influencing foaling rate following colic surgery in pregnant T horoughbred mares in C entral K entucky', '… has been associated with higher patient survival in equine colic 14, 16, 17. The same … \nThis finding emphasises the importance of early referral of equine colic cases as this not …')","NJ Drumm, RM Embertson, JB Woodie… - Equine Veterinary …, 2013 - Wiley Online Library"
"Evaluation of plasmatic procalcitonin in healthy, and in systemic inflammatory response syndrome (sirs) negative or positive colic horses","… research field for veterinary diseases, including equine colic. Due to the promising results 
… biomarker for assessing the severity of equine colic and for recognizing the SIRS status of …","('Evaluation of plasmatic procalcitonin in healthy, and in systemic inflammatory response syndrome (sirs) negative or positive colic horses', '… research field for veterinary diseases, including equine colic. Due to the promising results \n… biomarker for assessing the severity of equine colic and for recognizing the SIRS status of …')","I Nocera, F Bonelli, V Vitale, V Meucci, G Conte… - Animals, 2021 - mdpi.com"
Effects of three anthelmintic schedules on the incidence of colic in horses,"Four privately owned herds (25 to 49 animals per herd) were used in a five‐year trial designed 
to evaluate the effect of anthelmintic schedules on the incidence of colic. These herds …","('Effects of three anthelmintic schedules on the incidence of colic in horses', 'Four privately owned herds (25 to 49 animals per herd) were used in a five‐year trial designed \nto evaluate the effect of anthelmintic schedules on the incidence of colic. These herds …')","C UHLINGER - Equine Veterinary Journal, 1990 - Wiley Online Library"
Colic: nonsurgical complications,"… Systemic antimicrobial use in the perioperative period is well recognized and used by 
most surgeons performing equine colic surgery. The use of systemic antimicrobials as a …","('Colic: nonsurgical complications', '… Systemic antimicrobial use in the perioperative period is well recognized and used by \nmost surgeons performing equine colic surgery. The use of systemic antimicrobials as a …')","ES Hackett, DM Hassel - Veterinary Clinics of North America: Equine …, 2008 - Elsevier"
Lactate dehydrogenase activity in abdominal fluid from horses with colic,"The purpose of this study was to determine whether lactate dehydrogenase (LDH) activity in 
abdominal fluid could be used as a prognostic indicator in horses with colic. Lactate …","('Lactate dehydrogenase activity in abdominal fluid from horses with colic', 'The purpose of this study was to determine whether lactate dehydrogenase (LDH) activity in \nabdominal fluid could be used as a prognostic indicator in horses with colic. Lactate …')","C Smuts, J Mills, R Myles, T Gaál - Journal of Equine Veterinary Science, 2016 - Elsevier"
Factors affecting long‐term survival of horses recovering from surgery of the small intestine,"… (EFE) has been associated with a particularly poor post operative prognosis for equine colic 
… In: Proceedings of the 2nd Equine Colic Research Symposium, Eds: TD Byars, JN Moore …","('Factors affecting long‐term survival of horses recovering from surgery of the small intestine', '… (EFE) has been associated with a particularly poor post operative prognosis for equine colic \n… In: Proceedings of the 2nd Equine Colic Research Symposium, Eds: TD Byars, JN Moore …')","CJ Proudman, GB Edwards, J Barnes… - Equine Veterinary …, 2005 - Wiley Online Library"
[CITATION][C] Internal Parasites,,"('[CITATION][C] Internal Parasites', '')",FE COLIC
Prevalence and diagnosis of colic in equine field study,"… [en] This field study was conducted to diagnosis of equine colic. The physical findings of 
effected animals were increased. The blood values including TLC (10.5/cu.m), PCV (37%), …","('Prevalence and diagnosis of colic in equine field study', '… [en] This field study was conducted to diagnosis of equine colic. The physical findings of \neffected animals were increased. The blood values including TLC (10.5/cu.m), PCV (37%), …')","MY Mustafa, K Hazeen, S Manzoor… - Journal of Scientific …, 2007 - inis.iaea.org"
Modelling long‐term survival of horses following surgery for large intestinal disease,"… important cause of equine colic that require surgical management, but there is little … (2005b) 
Preoperative and anaesthetic-related risk factors for mortality in equine colic cases. Vet. J. …","('Modelling long‐term survival of horses following surgery for large intestinal disease', '… important cause of equine colic that require surgical management, but there is little … (2005b) \nPreoperative and anaesthetic-related risk factors for mortality in equine colic cases. Vet. J. …')","CJ Proudman, GB Edwards, J Barnes… - Equine veterinary …, 2005 - Wiley Online Library"
Ultrasound of the Equine Acute Abdomen,"… This article describes ultrasonographic anatomy of the normal equine abdomen and technique 
for examination of the equine colic patient. Common abnormalities of the stomach, small …","('Ultrasound of the Equine Acute Abdomen', '… This article describes ultrasonographic anatomy of the normal equine abdomen and technique \nfor examination of the equine colic patient. Common abnormalities of the stomach, small …')","MB Whitcomb - Veterinary Clinics of North America …, 2014 - ucdavis.pure.elsevier.com"
Initial treatment of colic,"… This study, which included over 2000 cases, supports the concept that early treatment of 
equine colic cases should be directed toward providing relief of pain and support of vital …","('Initial treatment of colic', '… This study, which included over 2000 cases, supports the concept that early treatment of \nequine colic cases should be directed toward providing relief of pain and support of vital …')","J Rose, E Rose - Veterinary Clinics of North America: Equine Practice, 1988 - Elsevier"
Antimicrobial use during colic surgery: finding the right strategy,"… A mAjor goal of prophylactic antimicrobial administration is to prevent incisional infection, 
an important cause of morbidity after equine colic surgery. The inclusion criteria used in the …","('Antimicrobial use during colic surgery: finding the right strategy', '… A mAjor goal of prophylactic antimicrobial administration is to prevent incisional infection, \nan important cause of morbidity after equine colic surgery. The inclusion criteria used in the …')","DE Freeman - The Veterinary Record, 2013 - search.proquest.com"
Effects of extensive resection of the small intestine in the pony.,"… Small intestinal resection (SIR) is not uncommonly done in surgical treatment of equine colic, 
but little is known about the long-term effects of SIR on horses and ponies. Twelve ponies, …","('Effects of extensive resection of the small intestine in the pony.', '… Small intestinal resection (SIR) is not uncommonly done in surgical treatment of equine colic, \nbut little is known about the long-term effects of SIR on horses and ponies. Twelve ponies, …')","LP Tate Jr, SL Ralston, CM Koch… - American Journal of …, 1983 - europepmc.org"
Medical versus Surgical Treatment of the Horse with Colic,"Medical management with enteral fluids, laxatives and lubricants; anti-inflammatory analgesia; 
and sedative analgesia is performed initially on most horses/foals with colic (see Chapter …","('Medical versus Surgical Treatment of the Horse with Colic', 'Medical management with enteral fluids, laxatives and lubricants; anti-inflammatory analgesia; \nand sedative analgesia is performed initially on most horses/foals with colic (see Chapter …')","LL Southwood - Practical Guide to Equine Colic, 2012 - books.google.com"
Complications and prognostic factors in equine surgical colic,"… The study of surgical site infections (SSI) occurring after equine colic surgery, is described 
… of the most important complications after equine colic surgery. These recommendations can …","('Complications and prognostic factors in equine surgical colic', '… The study of surgical site infections (SSI) occurring after equine colic surgery, is described \n… of the most important complications after equine colic surgery. These recommendations can …')",S Torfs - 2012 - biblio.ugent.be
Clinical and ultrasonographic evaluation of three suture techniques for closure of the equine linea alba,"… resulted in a smaller linea alba width compared with the conventional continuous suture 
technique and might therefore be preferred for closure of the linea alba in equine colic surgery. …","('Clinical and ultrasonographic evaluation of three suture techniques for closure of the equine linea alba', '… resulted in a smaller linea alba width compared with the conventional continuous suture \ntechnique and might therefore be preferred for closure of the linea alba in equine colic surgery. …')","ME Verkade, F Ugahary, A Martens… - Equine Veterinary …, 2020 - Wiley Online Library"
… ).... The Complete Holistic Dog Book Home Health Care for Our Canine Companions.... Hound Health Handbook.... Understanding Equine Colic (Horse Health Care …,"Medicine, the authors tackle the daunting challenge of creating client handouts for the 
everchanging, controversial field of complementary and alternative veterinary medicine (CAVM). …","('…\xa0).... The Complete Holistic Dog Book Home Health Care for Our Canine Companions.... Hound Health Handbook.... Understanding Equine Colic (Horse Health Care\xa0…', 'Medicine, the authors tackle the daunting challenge of creating client handouts for the \neverchanging, controversial field of complementary and alternative veterinary medicine (CAVM). …')","DJ Dane, L Sargent, DL Tanaglia… - Journal of the …, 2004 - Am Vet Med Assoc"
Intragastric pH in critically ill neonatal foals and the effect of ranitidine,"… 1 Island Whirl Equine Colic Research Laboratory and the … | 2 Island Whirl Equine Colic 
Research Laboratory and the … | 3 Island Whirl Equine Colic Research Laboratory and the Alec P. …","('Intragastric pH in critically ill neonatal foals and the effect of ranitidine', '… 1 Island Whirl Equine Colic Research Laboratory and the … | 2 Island Whirl Equine Colic \nResearch Laboratory and the … | 3 Island Whirl Equine Colic Research Laboratory and the Alec P. …')","LC Sanchez, GD Lester… - Journal of the American …, 2001 - Am Vet Med Assoc"
[CITATION][C] Clinical evaluation of the equine colic patient.,"Clinical evaluation of the equine colic patient. - Abstract - Europe PMC … Clinical 
evaluation of the equine colic patient. …","('[CITATION][C] Clinical evaluation of the equine colic patient.', 'Clinical evaluation of the equine colic patient. - Abstract - Europe PMC … Clinical \nevaluation of the equine colic patient. …')","TS Stashak - The Veterinary Clinics of North America. Large Animal …, 1979 - europepmc.org"
Use of web‐based data collection to evaluate analgesic administration and the decision for surgery in horses with colic,"Reasons for performing study: There is no current veterinary information with regard to data 
entry on a website. We therefore completed a prospective study on use of analgesics in …","('Use of web‐based data collection to evaluate analgesic administration and the decision for surgery in horses with colic', 'Reasons for performing study: There is no current veterinary information with regard to data \nentry on a website. We therefore completed a prospective study on use of analgesics in …')","NA White, A Elward, KS Moga, DL Ward… - Equine veterinary …, 2005 - Wiley Online Library"
Comparative analysis of intestinal helminth infections in colic and non-colic control equine patients,"Simple Summary The most important equine intestinal worm species include the roundworms 
Strongylus vulgaris and Parascaris spp. as well as tapeworms such as Anoplocephala …","('Comparative analysis of intestinal helminth infections in colic and non-colic control equine patients', 'Simple Summary The most important equine intestinal worm species include the roundworms \nStrongylus vulgaris and Parascaris spp. as well as tapeworms such as Anoplocephala …')","H Gehlen, N Wulke, A Ertelt, MK Nielsen, S Morelli… - Animals, 2020 - mdpi.com"
Systemic effects of a prolonged continuous infusion of ketamine in healthy horses,"… Island Whirl Equine Colic Research Laboratory, Department of Large Animal Clinical Sciences, 
… Veterinary Symposium and the 10th International Equine Colic Research Symposium. …","('Systemic effects of a prolonged continuous infusion of ketamine in healthy horses', '… Island Whirl Equine Colic Research Laboratory, Department of Large Animal Clinical Sciences, \n… Veterinary Symposium and the 10th International Equine Colic Research Symposium. …')","JR Elfenbein, SA Robertson, AA Corser… - Journal of Veterinary …, 2011 - Wiley Online Library"
Use of sedative and analgesic in equine treatment. Practical note,"… and analgesia and clinical studies on equine colic and surgery on the reproductive tract. … 
procedures and treatments, including use in equine colic and, together with epidural anesthesia…","('Use of sedative and analgesic in equine treatment. Practical note', '… and analgesia and clinical studies on equine colic and surgery on the reproductive tract. … \nprocedures and treatments, including use in equine colic and, together with epidural anesthesia…')","D Hamm - Rivista di Zootecnia e Veterinaria (Italy), 1993 - agris.fao.org"
Epidemiology of Colic: Principles for Practice,"… and analytical investigation of specific types of equine colic (eg, large colon impaction, small 
… for understanding and interpreting information about equine colic, with an emphasis on …","('Epidemiology of Colic: Principles for Practice', '… and analytical investigation of specific types of equine colic (eg, large colon impaction, small \n… for understanding and interpreting information about equine colic, with an emphasis on …')","ND Cohen - The Equine Acute Abdomen, 2017 - books.google.com"
[Use of sedative and analgesic in equine treatment. Practical note].[Italian],"… and analgesia and clinical studies on equine colic and surgery on the reproductive tract. … 
procedures and treatments, including use in equine colic and, together with epidural anesthesia…","('[Use of sedative and analgesic in equine treatment. Practical note].[Italian]', '… and analgesia and clinical studies on equine colic and surgery on the reproductive tract. … \nprocedures and treatments, including use in equine colic and, together with epidural anesthesia…')","D Hamm - Rivista di Zootecnia e Veterinaria, 1993 - agris.fao.org"
Acute-Phase Proteins of Healthy Horses and Horses Naturally Affected by Colic Syndrome,"The purpose of this study was to evaluate and compare the serum proteinogram, identifying 
and quantifying the acute-phase proteins (APPs) of healthy horses and those naturally …","('Acute-Phase Proteins of Healthy Horses and Horses Naturally Affected by Colic Syndrome', 'The purpose of this study was to evaluate and compare the serum proteinogram, identifying \nand quantifying the acute-phase proteins (APPs) of healthy horses and those naturally …')","PC Souto, LA da Fonseca, AMO Orozco… - Journal of equine …, 2019 - Elsevier"
Clinical laboratory data,"… 25 Similar mechanisms are likely involved in equine colic patients, but have not been 
investigated. Measurement of plasma epinephrine and serum cortisol in 35 colic patients revealed …","('Clinical laboratory data', '… 25 Similar mechanisms are likely involved in equine colic patients, but have not been \ninvestigated. Measurement of plasma epinephrine and serum cortisol in 35 colic patients revealed …')","RM Walton - Practical Guide to Equine Colic, 2012 - books.google.com"
"[PDF][PDF] Age-Dependent Intestinal Repair: Implications for Foals with Severe Colic. Animals 2021, 11, 3337","… Simple Summary: Equine colic places a substantial financial burden on horse owners and 
the … after foaling and how this may influence age-dependent outcomes in equine colic cases. …","('[PDF][PDF] Age-Dependent Intestinal Repair: Implications for Foals with Severe Colic. Animals 2021, 11, 3337', '… Simple Summary: Equine colic places a substantial financial burden on horse owners and \nthe … after foaling and how this may influence age-dependent outcomes in equine colic cases. …')","SJ Erwin, AT Blikslager, AL Ziegler - 2021 - pdfs.semanticscholar.org"
Right ventricular thrombus in an equine patient: a case report,"… The objective of this case report is to discuss the hypercoagulative state that occurs in 
endotoxemic equine colic patients. …","('Right ventricular thrombus in an equine patient: a case report', '… The objective of this case report is to discuss the hypercoagulative state that occurs in \nendotoxemic equine colic patients. …')",SK Alward - 2006 - ecommons.cornell.edu
[PDF][PDF] 16 Colic Surgery,"Abdominal surgery is used for the diagnosis and treatment of horses with signs of acute or 
chronic intermittent colic. The decision to pursue exploratory surgery is based on clinical signs…","('[PDF][PDF] 16 Colic Surgery', 'Abdominal surgery is used for the diagnosis and treatment of horses with signs of acute or \nchronic intermittent colic. The decision to pursue exploratory surgery is based on clinical signs…')","KL Epstein, J Fehr - Practical Guide to Equine Colic, 2013 - academia.edu"
Trends in the management of horses referred for evaluation of colic: 2004–2017,"The financial crisis of 2008 had effects on veterinary practice, with falling turnovers associated 
with reluctance of owners to spend money on veterinary care. There were anecdotal …","('Trends in the management of horses referred for evaluation of colic: 2004–2017', 'The financial crisis of 2008 had effects on veterinary practice, with falling turnovers associated \nwith reluctance of owners to spend money on veterinary care. There were anecdotal …')","AT Blikslager, TS Mair - Equine Veterinary Education, 2021 - Wiley Online Library"
[CITATION][C] Equine colic–to refer or not to refer?,"… THE differentiation between cases of equine colic that can be treated medically and those 
that require surgery is a dilemma that worries even experienced equine veterinary surgeons. …","('[CITATION][C] Equine colic–to refer or not to refer?', '… THE differentiation between cases of equine colic that can be treated medically and those \nthat require surgery is a dilemma that worries even experienced equine veterinary surgeons. …')","M Johnston - In Practice, 1992 - Wiley Online Library"
Patient signalement and history,"… Table 1.2 Pertinent questions to be asked of the owner/caregiver for the equine colic 
patient… (2001) Factors associated with Salmonella shedding among equine colic patients at a …","('Patient signalement and history', '… Table 1.2 Pertinent questions to be asked of the owner/caregiver for the equine colic \npatient… (2001) Factors associated with Salmonella shedding among equine colic patients at a …')","LL Southwood - Practical guide to equine colic, 2013 - books.google.com"
[CITATION][C] Abortion due to equine rhinopneumonitis,,"('[CITATION][C] Abortion due to equine rhinopneumonitis', '')","B Straw - Journal of Equine Veterinary Science, 1987 - WB Saunders"
Diagnosis of colic,"… Equine colic is the most common type of emergency seen by first-opinion veterinary … 
The Nottingham Equine Colic Project has been collaborating with veterinary professionals to …","('Diagnosis of colic', '… Equine colic is the most common type of emergency seen by first-opinion veterinary … \nThe Nottingham Equine Colic Project has been collaborating with veterinary professionals to …')","K Lightfoot, S Freeman, J Burford… - The Veterinary …, 2017 - search.proquest.com"
[CITATION][C] Studies on Metabolic Disturbances and Other Postoperative Complications Following Equine Colic Surgery,,"('[CITATION][C] Studies on Metabolic Disturbances and Other Postoperative Complications Following Equine Colic Surgery', '')","K Protopapas - DVetMed thesis, University of London, London, UK, 2000"
Differential diagnosis of equine cestodosis based on E/S and somatic Anoplocephala perfoliata and Anoplocephala magna antigens,"… The tapeworm responsible for equine colic, Anoplocephala perfoliata, is considered the 
most common intestinal tapeworm of horses worldwide. However, there is evidence that …","('Differential diagnosis of equine cestodosis based on E/S and somatic Anoplocephala perfoliata and Anoplocephala magna antigens', '… The tapeworm responsible for equine colic, Anoplocephala perfoliata, is considered the \nmost common intestinal tapeworm of horses worldwide. However, there is evidence that …')","A Bohórquez, A Meana, M Luzón - Veterinary parasitology, 2012 - Elsevier"
The effects of a novel anti‐inflammatory compound (AHI‐805) on cyclooxygenase enzymes and the recovery of ischaemia injured equine jejunum ex vivo,"… treatment of equine colic despite evidence of inhibited recovery of mucosal barrier function 
following small intestinal ischaemic injury. This study aimed to characterise an alternative …","('The effects of a novel anti‐inflammatory compound (AHI‐805) on cyclooxygenase enzymes and the recovery of ischaemia injured equine jejunum ex vivo', '… treatment of equine colic despite evidence of inhibited recovery of mucosal barrier function \nfollowing small intestinal ischaemic injury. This study aimed to characterise an alternative …')","JF Marshall, AS Bhatnagar, SG Bowman… - Equine Veterinary …, 2011 - Wiley Online Library"
New perspectives in postoperative complications after abdominal surgery,"… Abdominal ultrasonography in the equine colic patient: a validation of the technique. Presented 
at the 17th Annual Scientific Meeting, European College of Veterinary Surgeons. Basel, …","('New perspectives in postoperative complications after abdominal surgery', '… Abdominal ultrasonography in the equine colic patient: a validation of the technique. Presented \nat the 17th Annual Scientific Meeting, European College of Veterinary Surgeons. Basel, …')","A Klohnen - Veterinary Clinics: Equine Practice, 2009 - vetequine.theclinics.com"
Impact of colic surgery on return to function in racing Thoroughbreds: 59 cases (1996–2009),"Objective —To determine the effect of colic surgery on return to function in Thoroughbred 
racehorses, identify clinical variables associated with successful return to racing, and compare …","('Impact of colic surgery on return to function in racing Thoroughbreds: 59 cases (1996–2009)', 'Objective —To determine the effect of colic surgery on return to function in Thoroughbred \nracehorses, identify clinical variables associated with successful return to racing, and compare …')","SK Hart, LL Southwood, HW Aceto - Journal of the American …, 2014 - Am Vet Med Assoc"
Antithrombin III activity in horses with colic: an analysis of 46 cases,"… Abnormalities in coagulation parameters in clinical cases of equine colic (Meyers et a1 
1982; Moms and Beech 1983; Gerhards 1983; Johnstone and Blackwell 1984) and in …","('Antithrombin III activity in horses with colic: an analysis of 46 cases', '… Abnormalities in coagulation parameters in clinical cases of equine colic (Meyers et a1 \n1982; Moms and Beech 1983; Gerhards 1983; Johnstone and Blackwell 1984) and in …')","BJ Darien, J Potempa, JN Moore… - Equine veterinary …, 1991 - Wiley Online Library"
Clinico-biochemical prognostic markers in equines with surgical and non-surgical colic,"… Hospital incidence of equine colic was 31.86 percent (29/91). Age wise highest rate of colic 
was observed in adult equines of 6-10 years age (54.17 percent) with more prevalence in …","('Clinico-biochemical prognostic markers in equines with surgical and non-surgical colic', '… Hospital incidence of equine colic was 31.86 percent (29/91). Age wise highest rate of colic \nwas observed in adult equines of 6-10 years age (54.17 percent) with more prevalence in …')",IB Bassan - 2017 - sherekashmir.informaticspublishing …
Appraisal of the Current Evidence for Diagnostic Tests That Differentiate Medical and Surgical Colic,"… ) using search terms relating to equine colic. Publications were assessed against inclusion 
… Results: The primary search identified 5508 publications relating to equine colic; 976 related …","('Appraisal of the Current Evidence for Diagnostic Tests That Differentiate Medical and Surgical Colic', '… ) using search terms relating to equine colic. Publications were assessed against inclusion \n… Results: The primary search identified 5508 publications relating to equine colic; 976 related …')","L Curtis, TE Cullen, GCW England… - Equine Veterinary …, 2015 - Wiley Online Library"
"Comparison of age, sex, breed, history and management in 229 horses with colic","… PREVIOUS studies evaluated the incidence of diseases causing equine colic (Tennant, 
Wheat and Meagher 1973) relating to history and geographical location (Sembrat 1975; …","('Comparison of age, sex, breed, history and management in 229 horses with colic', '… PREVIOUS studies evaluated the incidence of diseases causing equine colic (Tennant, \nWheat and Meagher 1973) relating to history and geographical location (Sembrat 1975; …')","DD MORRIS, JN Moore, S WARD - Equine Veterinary Journal, 1989 - Wiley Online Library"
