,AugmTitle
230,"('Coliques du Nourrisson: Prévalence, Clinique et Impacts sur les Parents.', '… In current practice, infant colic is a very frequent reason for consultation in our structure, … \nCHU Gabriel Touré in whom the diagnosis of infant colic was retained according to the Rome IV …')"
231,"('Actitud, práctica y conocimiento del pediatra sobre el lactante que llora excesivamente durante los primeros meses de vida', ""… The diagnosis most often considered was gastroesophageal reflux disease (62.9%), followed \nby infant colic (23.5%) and cow's milk allergy (6.8%). The diagnostic test most frequently …"")"
232,"('El llanto lacerante de los lactantes con cólico. La infructuosa búsqueda del por qué', 'En este número aparece una interesante contribución acerca del dolor cólico de los niños \nlactantes. Su autor, el Dr. Norberto Sotelo, examina el mecanismo mediante el cual niños y …')"
233,"('[PDF][PDF] Problematika kojeneckých kolik v primární péči', '… Infant colic is arelatively common problem of infant age. According to the latest studies, the \nprevalence of Wessel-modified colic ranges from 17% to 25% during the first 6 weeks of age, …')"
234,"('Efectividad de la terapia manual en los síntomas del cólico del lactante.', '… Introduction: Infant colic is a benign process that occurs in the baby and causes inconsolable \ncrying spells that affect approximately 10-40% of all babies in the world by approximately …')"
235,"('[PDF][PDF] Probioticoterapia en el cólico del lactante: caso clínico', '… Infant colic is a prevalent physiological event of healthy children under 3 months of age which \n… infant colic. Several studies have shown less bifidobacteria and lactobacilli in infant colic …')"
236,"('[HTML][HTML] НЕЙРОМІДИН У КОМПЛЕКСНІЙ ТЕРАПІЇ РУХОВИХ ПОРУШЕНЬ У ДІТЕЙ ПЕРШОГО РОКУ ЖИТТЯ (за даними електронейроміографії)', 'In the article the analysis of neuromidin efficiency in a complex treatment of 103 infants with \nmotоr violations of different etiology on the basis of clinical and electroneuromyographic …')"
237,"('[PDF][PDF] АКТУАЛЬНАЯ ТЕМА', '… INFANT COLIC SYNDROME: TACTICS, DIAGNOSIS, TREATMENT, AND CARE … The paper \nconsiders the causes of infant colic and describes their differential diagnosis, clinical picture, …')"
238,"('Trastornos funcionales digestivos del lactante', '… Of the main gastrointestinal disorders we can mention: Infant colic, infant disquecia, infant \nregurgitation, infant rumination syndrome, cyclic vomiting syndrome, functional diarrhea and …')"
239,"('[HTML][HTML] Младенческие колики: что нового? \u200c\u200c\u200c\u200c', '… studies evaluating the effectiveness of treatment of infant colic in infants using a new drug \n… children in the study group were the presence of infant colic, and an indication of the use of …')"
240,"('[HTML][HTML] Racial and ethnic differences in factors associated with early postpartum depressive symptoms', '… functional limitations, more infant colic, less social support, less … more physical symptoms, \ninfant colic, less social support, and … lack of social support and infant colic are associated with …')"
241,"('[PDF][PDF] Infantile colic: is it an early sign of an allergy?', ""… The mothers' diet modification with reduced allergenic feeds in breastfed infants and \nhydrolyzed formula in formula-fed infants showed effective strategy to decrease the infant colic …"")"
242,"('[HTML][HTML] Remembering the chaos-but life went on and the wound healed. A four year follow up with parents having had a baby with infantile colic', '… Sequelae of infant colic: evidence of transient infant distress and absence of lasting effects \non … The effect of infant colic on maternal selfperceptions and mother-infant attachment. Child …')"
243,"('[HTML][HTML] Probiotics to prevent infantile colic', '… prescribed treatments for infant colic have been found to be … therapy to prevent the onset of \ninfant colic, in terms of both … that match the course of infant colic resolving over three months. …')"
244,"('[PDF][PDF] Family Physician Corner Myths and Facts about Infantile Colic', '… The benign nature of infant colic and the excellent prognosis should reassure the parents. \nPhysicians however need to emphasize the possible harm of using unknown herbs …')"
245,"('[PDF][PDF] Prevention of Infantile Colic Using Probiotics', '… In this review, the authors discuss the literature on using probiotics for the treatment of \ninfant colic, and then shift their focus to recent trials focussing on prevention of infant colic via …')"
246,"('[CITATION][C] Infant colic: the therapeutic puzzle', '')"
247,"('[CITATION][C] Coliforms and infant colic: Fish analysis of fecal samples of breastfed and formula fed infants', '')"
248,"('[CITATION][C] Treating infant colic with the probiotic Lactobacillus reuteri: double blind, placebo controlled randomised trial. BMJ 348: g2107', '')"
249,"('[HTML][HTML] Efficacy of probiotics for managing infantile colic due to their anti-inflammatory properties: A meta-analysis and systematic review', '… Simethicone in the treatment of infant colic:a randomized, placebo-controlled, multicenter … \nTreating infant colic with the probiotic Lactobacillus reuteri: double blind, placebo controlled …')"
250,"('[PDF][PDF] Calprotectin as a marker of bowel inflammation', '… organic (eg: infections, food allergyrelated disorders, inflammatory bowel diseases) and \nfunctional gastrointestinal disorders (eg: Toddler diarrhea, irritable bowel syndrome, infant colic) …')"
251,"('[HTML][HTML] FUNCTIONAL DISEASES OF THE GASTROINTESTINAL TRACT (GIT) IN CHILDREN IN VORONEZH', '… 2/3 of cases, in children under one year in most cases (83.3%), two or more functional \npathologies of the gastrointestinal tract are detected and the most frequent violation is infant colic, …')"
252,"('[PDF][PDF] Reducing unncessary prescribing in infant reflux project', '… Caring for crying babies: A mixed-methods study to understand factors influencing nurses’ \nand doctors’ management of infant colic. Journal of Paediatric and Child Health 2018; 54(6):…')"
253,"('[CITATION][C] Mo1180 Feeding Guideline Implementation in Infants At Risk of Intestinal Failure', '')"
254,"('[PDF][PDF] Plasma Magnesium and Zinc Levels in Infants with Infantile Colic', 'Objective: Muscle cramps, sleep disorders, and irritability due to Mg deficiency; and sleep \nand behavioral disorders associated with Zn deficiency and being cofactors in the melatonin …')"
255,"('P1171 DO DIGESTIVE AND NUTRITIONAL TROUBLES CONSTITUTE PROBLEM FOR PAEDIATRICIAN? RESULTS OF A SURVEY.', '… Infant colic which is also a frequent symptom (75 %) is a real problem too for 64 %. Regarding \nfeeding diversification, most of the paediatricians (57 %) recommend it at 5 months of age, …')"
256,"('Experiences of Veterinarians Using Acupuncture on Farm Animals', '… Infant colic treated by chiropractors: a 2. prospective study of … pulation in the treatment of \ninfant colic: a randomized controlled … of infant colic treated with chiropractic spinal manipulation. …')"
257,"('Recurrent right iliac fossa pain in children: two cases report related to food allergy', '… Atopy: asthma, atopic dermatitis, infant colic. Family history: Mother allergic to food, father \npresents rhinitis. The physical examination: Pain on palpation in the right iliac fossa. …')"
258,"('Gastroesophageal reflux and food allergy in infants with wheesing', '… Both are usually presented by similar symptoms: vomiting, regurgitation, failure to thrive, \nanemia, infant colic. Sometimes chronic cough and persistent wheezing is only symptom of GER…')"
259,"('Infacol to reduce the bubble effect at endoscopic ultrasonography', '… We have found that the infant colic remedy Infacol® provides an efficient and user-friendly \nmethod of dispensing simethicone. One dropper (0.5 ml equal to 20 mg) of Infacol is mixed …')"
260,"('[CITATION][C] Parent training to reduce the excessive crying associated with infant colic', '')"
261,"('[CITATION][C] Modern ideas about infant colic', '')"
262,"('[CITATION][C] Infant colic supplement', '')"
263,"('Infantile colic among Filipino infants.', 'A study on the incidence of infantile colic in 114 infants aged 1 to 2 months seen during a \nwell-baby visit was conducted from June to December 1992. Of the 114 infants evaluated, 62 (…')"
264,"('[HTML][HTML] Patient education: Colic (excessive crying) in infants (Beyond the Basics)', ""… Breastfed infants — Mothers who breastfeed may try consuming a hypoallergenic diet to \nreduce their infant's colic. A hypoallergenic diet eliminates potentially aggravating food groups, …"")"
265,"('[HTML][HTML] Chiropractic claims in the English-speaking world', '… : asthma, headache/migraine, infant colic, colic, ear infection/… found No evidence Infant Colic \nHealth Technology Report 15 … When claims for colic and infant colic were collapsed into a …')"
266,"('[HTML][HTML] Pharmacological interventions on early functional gastrointestinal disorders', '… We found no evidence-based guidelines or systematic reviews about the utility of \npharmacological therapy in functional regurgitation, infant colic and functional diarrhea. In case of …')"
267,"('The effects of breastfeeding position and the change in nutritional habit on infantile colic: A randomized clinical trial', '… on diet for mothers was lower than similar studies, however, the results obtained by adding \ndietary strategies to the diet resulted in a reduction in restlessness and severity of infant colic …')"
268,"('[HTML][HTML] Chiropractic diagnosis and management of non-musculoskeletal conditions in children and adolescents', '… to provide an effective treatment for infant colic. In fact, a Best … to test the efficacy of care for \ninfant colic. Table 1 shows the studies … If we are to find an effective treatment for infant colic, …')"
269,"('Infants with colic have a normal sleep structure at 2 and 7 months of age', 'Objective: To compare nighttime sleep structure between infants with colic and a control \ngroup. Study Design: Sleep and cry times of 15 infants with colic and 16 infants in a control …')"
270,"('Infant colic', 'The literature regarding infantile colic is reviewed. It is characterized by difficulties in definition. \nDifferent theories have been implied as to its etiology: behavioral and developmental as …')"
271,"('[BOOK][B] Infant colic: A prospective, community-based examination.', ""… Infant colic remains an enigma. Although there is widespread belief that colic is self-limiting \nand benign, some have suggested that an infant's colic … effects of an infant's colic on maternal …"")"
272,"('[HTML][HTML] Recent advances in understanding and managing infantile colic', '… However, for clinical research purposes, in order to diagnose infant colic, the child must meet \nthe clinical criteria plus both of the following: i) caregiver reports that the infant has cried or …')"
273,"('Dietary management of infantile colic: a systematic review', 'Infantile colic, the cause of 10–20% of all early paediatrician visits, can lead to parental \nexhaustion and stress. A systematic review was conducted to examine whether dietary change …')"
274,"('Probiotics and infant colic', '… Nearly all studies evaluating treatments for infant colic have methodological shortcomings \n… important question is: “Should we be treating infant colic at all?” A great deal of accumulated …')"
275,"('Methods used to eliminate colic in infants in the eastern parts of Turkey', '… ABSTRACT Objective: Infant colic is a common problem characterized by excessive crying \nand fussing. There is not a consistent treatment method used to eliminate colic. Mothers make …')"
276,"('Probiotics for infantile colic: a randomized, double-blind, placebo-controlled trial investigating Lactobacillus reuteri DSM 17938', '… Daily crying and fussing times were recorded in a structured diary, and maternal \nquestionnaires were completed to monitor changes in infant colic symptoms and adverse events. …')"
277,"('Infant colic: a new look at pathogenetic mechanisms and therapeutic measures (literature review)', '… on infant colic topic … Infant colic refers to functional disorders of the gastrointestinal tract and \nis characteristic to infants up to 5 months of age. The key point in the diagnosis of infant colic …')"
278,"('Toxicity of remedies for infantile colic', '… Therefore, paediatricians should reconsider the use of carminatives for treating infant colic \nsince in our opinion, the possibility of serious side effects outweighs their benefits in infants. …')"
279,"('Preventing and treating colic', '… The infant colic prevalence rates change considerably according to the criteria selected \nfor the study, technique of data collection, type of study chosen, and the population being …')"
280,"('[CITATION][C] The role of microbiota on infantile colic', '')"
281,"('[PDF][PDF] A case of abdominal discomfort and explosive diarrhea in a 3-month old infant', '… In the above case, same approach was hence adopted, which substantiated the benefit \nof using lactase enzyme drops in infant colic with features of lactose intolerance. NICE (National …')"
282,"('Microbiota in functional gastrointestinal disorders in infancy: implications for management', '… Postulated mechanisms of action for probiotic-mediated benefits in infant colic. Lactic-acid \nbacteria metabolize tryptophan within the gastrointestinal tract into indole-derived molecules, …')"
283,"('Child effects on the family: An example of the extreme case and a question of methodology', '… In following infants and their families after their colic had resolved we were able to examine \nhow infant colic affects parenting. For example, the impact of having an excessive crier on …')"
284,"('[BOOK][B] Microbiota in health and disease: from pregnancy to childhood', 'This book offers a state-of-the-art overview of the vital relationship between human microbiota \nand infant and child health. Renowned clinical-experimental experts in this field discuss …')"
285,"('[CITATION][C] Pediatric clinical gastroenterology: By A. Silverman and CC Roy. 971 pp., 548 illustrations, $66.00. The CV Mosby Company, St. Louis, Missouri, 1983', '')"
286,"('[PDF][PDF] Guidelines for Assessment of Suspected Physical Abuse of a Child', '… , is associated with lower reported infant colic. In addition, the … tions were also protective \nagainst infant colic: “How much of … reduce the stress associated with infant colic may reduce the …')"
287,"('Eski Soruna Yeni Bir Bakış: İnfantil Kolik', '… Improvement of symptoms in infant colic following reduction of lactose load with lactase. J \n… Examination of the effect of born free active flow baby bottles on infant colic. Gastroenterol …')"
288,"('O uso da massagem para alívio de cólicas e gases em recém-nascidos [The use of massage to relieve colic and gases in newborns]', '… Another cause of variation may be the definition of infant colic studies 5.11 . Infant colic is … \nRecently, we developed a colic measurement tool more sophisticated, the Infant Colic Scale …')"
289,"('Revisión sistemática: tratamiento nutricional del cólico del lactante (y II)', '… Infant colic is a common problem for which there is still no definitive treatment, despite the … \nThe aim of this report is to present a systematic review of the dietary treatment of infant colic in …')"
290,"('Soy protein infant formulae and follow-on formulae: a commentary by the ESPGHAN Committee on Nutrition', 'This comment by the European Society for Paediatric Gastroenterology Hepatology and \nNutrition (ESPGHAN) Committee on Nutrition summarizes available information on the …')"
291,"('[HTML][HTML] Parent to Baby Emotions: Parental Immediate Emotional Reactions towards Infant Crying', '… Many researchers have been interested in infant crying or infant colic. Early scales such as \nthe Parental Diary of Infant Cry and Fuss Behavior (Barr et al., 1988) [25], the Crying Pattern …')"
292,"('Predicting infant crying from fetal movement data: an exploratory study', ""… This phenomenon, often known as infant `colic', has a substantial impact on parents and the \nhealth services and has attracted … Infant colic: a transient condition with no apparent effects …"")"
293,"('[CITATION][C] Comparison of the short‐term effects of chiropractic spinal manipulation and occipital sacral decompression in the treatment of infant colic: a single‐blind\xa0…', 'Comparison of the short‐term effects of chiropractic spinal manipulation and occipital sacral \ndecompression in the treatment of infant colic: a single‐blind randomised comparison trial\xa0…')"
294,"('[PDF][PDF] T1398 Gabapentin for Gastrointestinal Distress in Infants and Toddlers', '… Similarly, infant colic may be due to neuropathic pain and arousal. … for infant colic. Methods: \nWe treated 41 subjects: 7 infants (mean age 3 mo, range 1-7 mo, 6 male) with infant colic …')"
295,"('Parent training programmes for managing infantile colic', '… the common nature of the condition, and the large amount of research investigating this area, \nthere have been no breakthroughs in terms of the real mechanisms underlying infant colic. …')"
296,"('[HTML][HTML] Development and validation of a Rome III functional gastrointestinal disorders questionnaire for infants and toddlers', 'Objective: Functional gastrointestinal disorders (FGIDs) in infants and toddlers are common, \nbut no questionnaire is available for use in clinic and research. The purpose of the present …')"
297,"('[CITATION][C] Infant colic', 'Infant colic Infant colic …')"
298,"('Childhood television viewing is associated with antisocial behavior in adulthood', '… It is possible that infant colic is an early life manifestation of those genes that later in life \nare … If infant colic is a migraine-related disorder, there are major treatment implications. …')"
299,"('Does probiotics reduce crying time in infantile colic in exclusively breastfed babies? A comprehensive meta-analysis', '… In this meta-analysis we aimed to identify whether the probiotic Lactobacillus reuteri DSM \n17938 was effective in the management of infant colic. In this study, we analyzed the reduction …')"
300,"('Dietary modifications for infantile colic', '… We will also analyze the effect of using the stringent Wessel definition of infant colic (Wessel \n1954), the more recent definition given by Hyman 2006, or a non-recognized definition. …')"
301,"('[HTML][HTML] Psychodynamic Study about Reflux and Colic During the First Year of Life', '… Infant colic symptoms, for example, have been a well known topic … Infant colic: Descriptive \nstudy of maternal care practices for … Infant colic: Descriptive study of maternal care practices for …')"
302,"('[CITATION][C] Coping with infant colic', '')"
303,"('[CITATION][C] Infant Colic', '')"
304,"('[CITATION][C] …\xa0and children: United States, 2007. Natl Health Stat Report 2008: 1-23.15. Ernst E: Chiropractic spinal manipulation for infant colic: a systematic review of\xa0…', '')"
305,"('[CITATION][C] Infant colic', '')"
306,"(""[CITATION][C] Mothers' migraine associated with infant colic, but not fathers'"", '')"
307,"('[CITATION][C] Criteria for Diagnosis of Infant Colic in the AECC Clinic', '')"
308,"('[CITATION][C] HUMAN-BREAST MILK CONTAINS BOVINE IGG, A POSSIBLE FACTOR IN INFANT COLIC', '')"
309,"('[CITATION][C] Is the EGG a marker for infant colic? Results from a prospective study', '')"
310,"('Colic or milk allergy', '… , they purport to examine the relationship between infant colic and cow\'s milk protein allergy. \n… Yet, each of these physicians defined the syndrome of infant colic as excessive crying in ""…')"
311,"('Infant colic and childhood recurrent abdominal pain syndromes: is there a relationship?', '… is a relationship between infant colic and recurrent abdominal … to two syndromes: namely, \ninfant colic and RAP syndrome. … Infant colic has an age-related"" crying curve"" with a peak in …')"
312,"('Infant colic or early symptom of autism spectrum disorder?', '… The parents were questioned using the diagnostic criteria for infant colic for clinical \nresearch purposes defined in Rome IV to diagnose IC , retrospectively. The sample size was …')"
313,"('Probiotics for colic—is the gut responsible for infant crying after all?', '… The role of the probiotic Lactobacillus reuteri DSM17938 in infant colic has recently come … \nconsequence of infant colic is difficult to untangle. Perhaps, it is true that infant colic is related …')"
314,"('Beyond infant colic.', 'Some of the most interesting cases in pediatric practice evolve through time. What may \nbegin as a clear, well defined problem with a predictable natural history and an accepted …')"
315,"('Elimination communication as colic therapy', '… In addition to excessive crying, symptoms and descriptors of infant colic include inconsolable \ncrying, screaming, legs drawn up against the abdomen, furrowing of eyebrows, distended …')"
316,"('[HTML][HTML] Approach to infantile colic in primary care', '… (3,5) The Rome IV criteria define infant colic as a functional gastrointestinal disorder from \nbirth to five months of age, fulfilling the conditions in Box 1. However, the Rome IV criteria is …')"
317,"('Are there any effective treatments for infant colic?', '… to be an effective treatment for infant colic. Dicyclomine was found in three studies to be \nsignificantly better than placebo at reducing symptoms of infant colic. However, severe adverse …')"
318,"('Is colic a gastrointestinal disorder?', 'Infantile colic is a distinct, although poorly defined, clinical entity. Whereas a general \nconsensus regarding its cause is lacking, it is most likely multifactorial in genesis. Possible …')"
319,"('Infantile colic revisited.', ""More than 30 years ago, with the help of the Index Medicus, I reviewed the world's published \nreports on evening colic.'Since then the Index Medicus has listed about two papers a year, …"")"
320,"('New research into infant colic', '… The findings suggest that infant colic may have a multiple aetiology, and that in a \nsignificant number of cases the immediate cause is transient lactose intolerance, in which\xa0…')"
321,"('[HTML][HTML] Effectiveness of Mentha piperita in the treatment of infantile colic: a crossover study', '… Tarasco, “New treatments for infant colic,” Current Opinion in Pediatrics, vol. 22, no. 6, pp. … \nstrategies for treating infant colic,” Journal of Pediatric Health Care, vol. 18, no. 3, pp. …')"
322,"('Is sensory processing an issue for infants with colic?', '… suggest sensory functioning may not influence infant colic. … may not be a strong factor in \ninfant colic; or 2) the tool used to … the body of evidence which suggests infant colic may be a risk …')"
323,"('Infantile colic—less common than previously estimated?', 'A two‐part population‐based study investigating the occurrence of infantile colic was \nundertaken. in which 92% of mothers with newborn healthy infants were reached. In the …')"
324,"('Chapter 12 The association between intestinal microbiota and infant crying and behaviour', '… infant crying and behaviour, with particular focus on infant colic. It first describes the challenges \nin defining and measuring infant colic, its epidemiology and burden, and its association …')"
325,"('[HTML][HTML] Probiotic Lactobacillus rhamnosus GG therapy and microbiological programming in infantile colic: a randomized, controlled trial', '… One in five families encounter infant colic, defined as excessive and inconsolable crying … \nFurther, with data accumulating to suggest that infant colic is not always benign and transient, …')"
326,"('Postbiotics and their potential applications in early life nutrition and beyond', '… relevant effects and evidence can be found for the use of postbiotics in healthy individuals \nto improve overall health and to relief symptoms in a range of diseases such as infant colic …')"
327,"('[PDF][PDF] Factors associated with maternal overall Quality of Life six months postpartum', '… Infant colic and poor sleep behaviour can give rise to negative emotions in the mother that \novershadow the joy of being a mother. Colic is infant fussing and crying that occurs in the …')"
328,"('Natural Interventions for Infant Colic, A Commentary on the Available Evidence.', 'COLIC IS OFTEN DEFINED BY THE"" RULE OF THREE"": crying for more than three hours per \nday, for more than three days per week, and for longer than three weeks in an infant who is …')"
329,"('[HTML][HTML] Infant colic treatment. Infant colic: causes, symptoms, treatment', '… The article provides information on the pathogenesis of infant colic. The issues of … first-choice \ndrug for relieving infant colic have been substantiated. Infant colic remains one of the most …')"
330,"('Update on infantile colic and management options.', '… Infant colic is a common but poorly defined and understood clinical entity and, while several \ncausative factors have been suggested, a unifying theory of its pathogenesis is still required. …')"
331,"('Effectiveness of Lactobacillus reuteri in infantile colic and colicky induced maternal depression: a prospective single blind randomized trial', '… and treatment of infant colic has remained elusive. The use of Lactobacillus reuteri (DSM \n17938) in infant colic is … reuteri may be a safe and efficacious option for reducing infant colic. …')"
332,"('Living with a colicky infant', ""… from the previous two qualitative studies of infant colic. It also adds fathers' perspectives of … \nof infant colic is ambiguous and the remedies are uncertain. The cause of infant colic remains …"")"
333,"('Early childhood: colic, child development, and poisoning prevention', '… data do not demonstrate conclusive benefit of simethicone as a treatment for infant colic. … \nin infant colic found that it had no significant impact on the symptoms of infant colic, but that …')"
334,"('Infantile colic: an update', '… Infant colic is a diagnosis of exclusion for prolonged cry in early infancy. It is described as \ncompulsive and paroxysmal crying or fussing with multi-factorial etiology. It is considered as a …')"
335,"('The postural treatment of infant colic.', 'From X-ray examination of babies placed in various postures, it has been shown that gas in the small intestine small intestine Subject Category: Anatomical and Morphological\xa0…')"
336,"('Infantile colic: aetiology and prognosis.', '… This is a comment on ""Treatment of infant colic with amino acid-based infant formula: a … \nA validity and reliability study investigating the Turkish version of the Infant Colic Scale. …')"
337,"('[HTML][HTML] Probiotics to improve outcomes of colic in the community: protocol for the Baby Biotics randomised controlled trial', '… An effective, practical and acceptable intervention for infant colic would represent a major \nclinical advance. Because our trial includes breast and formula-fed babies, our results should …')"
338,"('Inflaming the debate on infant colic', '… Research in infant colic is beleaguered in its progress toward etiology and … infant colic in \ncommunity-based prospective and retrospective studies found that the incidence of infant colic …')"
339,"('Infant colic: A possible solution', 'Infant Colic: A Possible Solution : MCN: The American Journal of Maternal/Child Nursing … \nInfant Colic: A Possible Solution …')"
340,"('Migraine and childhood periodic syndromes in children and adolescents', '… Recent research suggests infant colic may also fit into this category. Migraine headache is \ncommon in children and adolescents, and chronic migraine effects 0.8–1.8% of adolescents …')"
341,"('[CITATION][C] Helping Parents to Manage Infant Colic', '')"
342,"(""Effect of mothers' educational supportive care program on pain intensity and crying duration caused by colic pain in infants aged 1-5 months"", ""Background: Baby colic is one of the most common digestive problems in infants. Due to its \nseveral and unknown causes, colic treatment depends on the parent's individual and social …"")"
343,"('[HTML][HTML] Effectiveness of the Contours Vibes™ soothing vibrations infant and toddler crib mattress on infant and maternal sleep quality and health outcomes: an\xa0…', '… Brief Infant Colic Questionnaire: The brief infant colic questionnaire is a validated research \ninventory that assesses colic symptoms such as nocturnal and daytime sleep duration; …')"
344,"('When you smoke your baby smokes: advancing maternal and child health through an academic alliance to improve health of mothers and their infants.', '… Adverse effects on the infant include altered infant behaviors such as an increased occurrence \nof infant colic or Attention Deficit Disorders (ADD). Studies have shown that a significant …')"
345,"('[HTML][HTML] Effect of Lactobacillus rhamnosus HN001 in pregnancy on postpartum symptoms of depression and anxiety: a randomised double-blind placebo-controlled\xa0…', '… , we found that prevalence of infant colic did not differ between the probiotic and … for infant \ncolic. Multivariable analysis showed that probiotic supplementation and absence of infant colic …')"
346,"('Assessing the relationship between infantile colic and parental migraine in infants aged 4 to 12 weeks in Urmia', '… In this study, 17 (41.46%) children with migraine headaches had a positive history for infant \ncolic compared to the control group (44 , 35.7%) . The history of migraine was higher in the …')"
347,"('[PDF][PDF] Effect of maternal depression and environmental factors on infantile colic', '… Infant Colic Empirical Evidence of the Absence of an Association with Source of Early Infant \nNutrition. … Infant Colic and Maternal Depression. Infant Ment Health J 2005; 26(1): 56–68. …')"
348,"('Neonatal antibiotics and prematurity are associated with an increased risk of functional gastrointestinal disorders in the first year of life', '… We observed a significant difference in the proportion of infants affected by infant colic \nand regurgitation between the 2 groups of infants born preterm and full term (P < .05; Table II). …')"
349,"('Usage and attitudes towards natural remedies and homeopathy in general pediatrics: a cross-country overview', '… Natural remedies and homeopathic preparations are more frequently used in upper respiratory \ntract infections, infant colic, sleep disturbances, and recurrent infections. In the majority of …')"
350,"('[CITATION][C] Infant colic. Functional gastrointestinal disorders-Rome III. McLean, VA: Degnon Associates', '')"
351,"('[CITATION][C] Infant colic', '')"
352,"('[CITATION][C] Infant colic. In case based pediatrics for medical students and residents', '')"
353,"('[CITATION][C] Simethicone in the Treatment of Infant Colic: A Randomized Placebo-Controlled, Multicenter Trail. Pediatrics [Internet]. 1994 [cited 2018 Dec 18]; 94: 29\xa0…', '')"
354,"('[CITATION][C] Impact of Lactobacillus reuteri colonization on gut microbiota, inflammation, and crying time in infant colic. Sci Rep 2017; 7 (1): 15047', '')"
355,"('Hyperspectral imaging in the quality control of herbal medicines–the case of neurotoxic Japanese star anise', '… Illicium verum (Chinese star anise) dried fruit is popularly used as a remedy to treat infant \ncolic. However, instances of life-threatening adverse events in infants have been recorded …')"
356,"('Effectiveness and safety of a probiotic-mixture for the treatment of infantile colic: a double-blind, randomized, placebo-controlled clinical trial with fecal real-time PCR\xa0…', '… Parents were also instructed to avoid any other methods of managing infant colic. … If \nsymptoms fulfilled the “infant colic” definition during that period, infants were enrolled in the study …')"
357,"('[CITATION][C] Development of a core outcome set for infant colic', '')"
358,"('[HTML][HTML] Vestibular stimulation with Indian hammock versus music intervention in the prevention of infantile colic in term infants: An open-labelled, randomized\xa0…', '… To date, there is insufficient evidence regarding the effective treatment options for infant \ncolic [1]. Although supplementation of lactase and probiotics have shown benefits, further …')"
359,"('Recent Data for Infantile Intestinal Colic Treatment', 'Infantile colic is one of the main causes of pediatric consultation for parents complaining of \nthe anxiety and vagitus of their baby. Some pediatricians are prone to undervalue this issue …')"
360,"('The enigma of infant colic: results, clinical experiences and therapeutic approaches from the Munich Interdisciplinary Research and Intervention Program (MIRIP)', 'Aim of the study: The etiology of persistent crying during early infancy has been only insufficiently \nelucidated. Based upon recent data from the"" Munich Interdisciplinary Research and …')"
361,"('Infantile colic treatment: new prospects', '… Dobson D, Lucassen PLBJ, Miller JJ, Vlieger AM, Prescott P, Lewith G Pain relieving \nagents for infant colic 1 … New treatments for infant colic. Curr Opin Pediatr. 2010;22(6):7917. …')"
362,"('[CITATION][C] Sequelae of infant colic: Evidence of transient infant distress and absence of lasting effects on maternal mental health. Editorial', '')"
363,"('[HTML][HTML] The new Rome IV criteria for functional gastrointestinal disorders in infants and toddlers', '… cause and that is why children with infant colic are commonly referred to pediatric … er infant \ncolic truly has a gastrointestinal origin is debatable [35]. The pathophysiology of infant colic is …')"
364,"('Infantile colic and migraine', 'CLINICIANS HAVE LONG SUSPECTED AN ASSOCIATION BE-tween migraine and infantile \ncolic. 1-3 Previous stud-ies have linked maternal migraine with infantile colic. 4 In this issue …')"
365,"('Perception of Infant Colic by Caucasian and Hispanic Mothers in the WIC Program', '… Maternal perception of infant colic is being explored in this study in tenns of perceived physical \nbehaviors, such as crying and body movements, as well as maternal attitudes and beliefs …')"
366,"('Comparison of the Effect of Probiotic with Caraway Mixture Syrup on Infant Colic', 'Background and Objective: Infant colic is a relatively common behavioral syndrome in this \nperiod. The main mechanism of colic is still unknown and no effective treatment is indicated …')"
367,"('A trial of lactase management of infant colic', 'A trial of lactase management of infant colic : Topics in Clinical Nutrition … A trial of lactase \nmanagement of infant colic …')"
368,"('[HTML][HTML] Probiotics for infantile colic', ""… of infant colic and its impact on the lives of the infants and their families, this study is designed \nto evaluate the therapeutic role of pedilact probiotic drops for the treatment of infant's colic …"")"
369,"('Acoustic characteristics of naturally occurring cries of infants with “colic”', 'Although infantile colic has long been defined by a perceived excessive amount of crying, \nacoustic attributes of the cry sound may also contribute to perceptions that this early social …')"
370,"('[CITATION][C] …\xa0partually hydrolyzed formula, with reduced lactose content and with Lactobacillus reuteri, versus a standard intact protein formula in improving infant colic', '')"
371,"('[CITATION][C] Evaluating the effectiveness of the SleepTight machine in the management of infant colic', '')"
372,"('[CITATION][C] The Treatment of Infant Colic Using the Homoeopathic Similimum: A Mini-dissertation Submitted to the Faculty of Health Sciences, Technikon\xa0…', '')"
373,"('Functional Gastrointestinal Disorders in under 4 years population specimen in Pakistan', '… Results: Infant colic was the commonest FGID under nine months old while constipation … \nThe most common ones, in order of frequency, were found to have infant colic, constipation, …')"
374,"('Effectiveness of a modified mother–infant transaction program on outcomes for preterm infants from 3 to 24 months of age', '… The Approach subscale and all four of the additional questions (“Compared to other babies \nI think my baby is (easier-difficult)”, severity of infant colic (p < .012), sleep (p < .012) and …')"
375,"('[PDF][PDF] Before the headache', '… The objective of this study was to determine whether maternal migraine is associated with \nan increased risk of infant colic, because this may indicate that colic is a childhood periodic …')"
376,"('[HTML][HTML] Feeding, stooling and sleeping patterns in infants with colic-a randomized controlled trial of minimal acupuncture', 'The aim was to describe the feeding- and stooling patterns of infants with colic and evaluate \nthe influence of minimal acupuncture. A prospective, randomized, controlled, blind clinical …')"
377,"('The colic experience', 'With more and more babies entering the care of childminders and daycare settings, \npractitioners need to be able to provide support and advice for parents on a range of different …')"
